Inicio,Duracion,Descripcion
36.265625,5,2
52.79296875,5,1
70.97265625,5,1
86.38671875,5,1
104.84375,5,2
122.7734375,5,2
139.5703125,5,1
156.640625,5,2
174.08203125,5,1
191.76171875,5,1
208.60546875,5,1
225.421875,5,2
243.56640625,5,1
261.8125,5,2
279.64453125,5,2
297.51171875,5,2
314.28125,5,2
332.3828125,5,1
349.296875,5,2
367.265625,5,1
377.265625,5,1
